domain,scraped_url,company_name,num_employees,parent_company,annual_sales
diariovasco.com,www.diariovasco.com,"SOCIEDAD VASCONGADA DE PUBLICACIONES, SOCIEDAD ANONIMA",119,VOCENTO CORPORACION DE MEDIOS DEL PAIS VASCO SOCIEDAD LIMITADA.,35.40M
digg.com,www.digg.com,Digg Inc.,28,NA,0.51M
drimble.nl,www.drimble.nl,"Stichting voor het Middelbaar Beroepsonderwijs, op Basis van Samenwerking, in de IJmond en het Haarlemse Gebied",437,NA,1.87M
duic.nl,www.duic.nl,DUIC B.V.,4,Divers B.V.,309.51K
duluthnewstribune.com,www.duluthnewstribune.com,Duluth News Tribune,179,Forum Communications Company,6.79M
durangoherald.com,www.durangoherald.com,Durango Gravel,5,NA,1.10M
dutchnews.nl,www.dutchnews.nl,Dutch News Digest,3,NA,0.51M
dvhn.nl,www.dvhn.nl,Houthandel Waninge B.V.,4,NA,130.10K
ecodibergamo.it,www.ecodibergamo.it,SOC EDITRICE SS. ALESSANDRO AMBROGIO BASSIANO SPA,62,DIOCESI DI BERGAMO,23.85M
economiadigital.es,www.economiadigital.es,ECONOMIA DIGITAL SL.,21,NA,2.61M
economist.com,www.economist.com.ezproxy.library.tufts.edu,ECONOMIST NEWSPAPER LIMITED(THE),1312,NA,405.12M
egaliteetreconciliation.fr,www.egaliteetreconciliation.fr,EGALITE,1,NA,294.41K
elcomercio.es,www.elcomercio.es,EL COMERCIO SA,78,VOCENTO GESTION DE MEDIOS Y SERVICIOS SL.,11.77M
elconfidencial.com,www.elconfidencial.com,TITANIA COMPAÑIA EDITORIAL SL,154,NA,22.43M
elcorreo.com,www.elcorreo.com,DIARIO EL CORREO SOCIEDAD ANONIMA,169,VOCENTO CORPORACION DE MEDIOS DEL PAIS VASCO SOCIEDAD LIMITADA.,47.53M
eldia.es,www.eldia.es,EDITORIAL LEONCIO RODRIGUEZ SA,75,EPIGRAFICAS SL,5.86M
eldiario.es,www.eldiario.es,DIARIO DE PRENSA DIGITAL SL.,91,NA,11.01M
eldiariomontanes.es,www.eldiariomontanes.es,EDITORIAL CANTABRIA SA,79,VOCENTO GESTION DE MEDIOS Y SERVICIOS SL.,15.67M
eleconomista.es,www.eleconomista.es,"EDITORIAL ECOPRENSA, SA",130,NA,16.50M
